,author,content,region,language,publish_date,followers,retweet,account_category,mentions,exist_target
1071,4MYSQUAD,'@4mysquad  Mr Carruthers Sir. Time to retire.   As G'ma would say You stepped in it You don't get to come back inside till the stink is gone',United States,English,10/16/2015 9:29,4811,1,LeftTroll,4MYSQUAD,True
1072,4MYSQUAD,"'@4mysquad  Of all people, Law Enforcment should know better Call  Congress Insist! Remind them.... I VOTE.... ALL MY FRIENDS VOTE. Thank you'",United States,English,10/16/2015 9:30,4811,1,LeftTroll,4MYSQUAD,True
1078,4MYSQUAD,'@4mysquad Strangely Hispanics r counted twice. Included n White census & a Hispanic category. Y count 1 group twice? Atlanta is still Black.',United States,English,10/17/2015 8:12,4811,1,LeftTroll,4MYSQUAD,True
1079,4MYSQUAD,'@4mysquad Ur on it tonight! He's an idiot. That's not his tank. He is a replaceable employee. Our tax $'s paid 4 that tank. Citizens own it.',United States,English,10/17/2015 9:38,4811,1,LeftTroll,4MYSQUAD,True
1139,4MYSQUAD,'@4mysquad Cop shot 7 year old #Aiyana n the head as she slept he also killed the dog. No jail. Did he harm ppl 2? Was Animal cruelty called?',United States,English,10/21/2015 11:10,4811,1,LeftTroll,4MYSQUAD,True
1155,4MYSQUAD,'@AFRICAisMankind @4mysquad @BlackjediNow @foolishchicka @NewNatTurner @conscious_black @Briizayy__ @MeJoycex Life isn't about what you earn.',United States,English,10/21/2015 16:00,4811,1,LeftTroll,4MYSQUAD,True
1200,4MYSQUAD,"'@4mysquad especially if we can learn our own history and be ourselves, and cut the foolishness out'",United States,English,10/4/2015 13:44,4811,1,LeftTroll,4MYSQUAD,True
1210,4MYSQUAD,'@4mysquad @keepupwithle aha you one of my fave people now �☺️��',United States,English,10/4/2015 15:30,4811,1,LeftTroll,4MYSQUAD,True
1217,4MYSQUAD,'@marpeesh @4mysquad   ❤️ Well said ❤️  Injustice anywhere is a threat to justice everywhere -MLK  #WakeUp #OneLove http://t.co/6nlsfCnK6M',United States,English,10/4/2015 17:50,4811,1,LeftTroll,4MYSQUAD,True
1235,4MYSQUAD,'@marpeesh @_mustafaay @4mysquad @DE_Fire_School @tawnybananas   This reminds me of you ☺️ http://t.co/haeYv5SGpN',United States,English,10/4/2015 22:17,4811,1,LeftTroll,4MYSQUAD,True
1272,4MYSQUAD,RT @4mysquad @OwlsAsylum Black bae... so all of my body parts  and I think it'll be free of charge lol ���������,United States,English,10/5/2015 17:17,4811,1,LeftTroll,4MYSQUAD,True
1329,4MYSQUAD,'@4mysquad @menchithekid @kidnoble @BlackjediNow @foolishchicka @conscious_black @NewNatTurner United we stand. http://t.co/JvCHpYMm9U',United States,English,10/8/2015 15:43,4811,1,LeftTroll,4MYSQUAD,True
1338,4MYSQUAD,'@4mysquad Not if we change the situation!  #FloodTheStreets  http://t.co/yBy6pOTRzT #BlackLivesMatter http://t.co/4F2a1xn5rZ',United States,English,10/8/2015 21:14,4811,1,LeftTroll,4MYSQUAD,True
1339,4MYSQUAD,'@4mysquad More info: http://t.co/fuEHYInpUi',United States,English,10/8/2015 21:59,4811,0,LeftTroll,4MYSQUAD,True
1371,4MYSQUAD,"! @4mysquad @Solutioneer72 Funny & the #MSM doing their damndest to make cops look good, does anyone believe what #Cops or #MSM say anymore?",United States,English,10/9/2015 15:36,4811,1,LeftTroll,4MYSQUAD,True
1374,4MYSQUAD,"'@4mysquad And so #BLM is called a ""hate group"" while cops sworn to serve and protect commit murder, torture, aggravated assault and theft.'",United States,English,10/9/2015 15:40,4811,1,LeftTroll,4MYSQUAD,True
1376,4MYSQUAD,"'@4mysquad Well, nobody said racists are smart. Quite the opposite. Just look at what some of them Tweet. Or say on camera.'",United States,English,10/9/2015 16:18,4811,1,LeftTroll,4MYSQUAD,True
2069,4MYSQUAD,'@4mysquad https://t.co/FEmNuCXKaj full video',United States,English,8/19/2015 13:46,4811,0,LeftTroll,4MYSQUAD,True
2084,4MYSQUAD,'@4mysquad https://t.co/As3VJPmBgU video here. http://t.co/meHOvKbf9e',United States,English,8/19/2015 15:51,4811,0,LeftTroll,4MYSQUAD,True
2168,4MYSQUAD,'@4mysquad @NatvNewYorkr @NotJustMy @MSNBC @POTUS #WhitePrivilege is real. Say it? Hell I'll shout it. I stand with #BlackLivesMatter',United States,English,8/20/2015 7:02,4811,1,LeftTroll,4MYSQUAD,True
2247,4MYSQUAD,'@4mysquad You know the answer you have to write them out. The Good The Bad and The unanswered. Then you will find you PLAN OF ACTION',United States,English,8/22/2015 7:50,4811,1,LeftTroll,4MYSQUAD,True
2249,4MYSQUAD,"'@4mysquad Get to know the leads in your area. your city leaders, state leaders, you area WATCH COMMANDER in your local police office'",United States,English,8/22/2015 7:52,4811,1,LeftTroll,4MYSQUAD,True
2260,4MYSQUAD,'@4mysquad This is so heartbreaking! Cops should b immediately arrested after killing an unarmed person. @POTUS give an Executive Order 4 it.',United States,English,8/23/2015 8:43,4811,1,LeftTroll,4MYSQUAD,True
2365,4MYSQUAD,'@4mysquad dis dick http://t.co/AU40oAvFUz',United States,English,8/25/2015 12:55,4811,0,LeftTroll,4MYSQUAD,True
2366,4MYSQUAD,"'@4mysquad The police need to be policed by someone,but it's not Obama.That guy has messed this country up so bad'",United States,English,8/25/2015 12:55,4811,0,LeftTroll,4MYSQUAD,True
2374,4MYSQUAD,'@GallowayEliana Oh I agree w/ya so much',United States,English,8/25/2015 13:32,4811,0,LeftTroll,GALLOWAYELIANA,True
2453,4MYSQUAD,Agreed what Affleck movie is watchable..Jennifer Garner in Elektra is better than any Affleck movie @JD_marsh22 @4mysquad,United States,English,8/26/2015 13:50,4811,1,LeftTroll,4MYSQUAD,True
2693,4MYSQUAD,'@4mysquad im late but I'm on it',United States,English,8/29/2015 14:42,4811,1,LeftTroll,4MYSQUAD,True
2776,4MYSQUAD,"'@YourNotEducated @4mysquad No, I'm not his father. And he is not an ""it"". Or an ""abomination"". But keep talking.'",United States,English,8/29/2015 9:30,4811,1,LeftTroll,4MYSQUAD,True
2797,4MYSQUAD,"'@4mysquad Chk out ""Diverse, Intense, Uncompromising: In Harlem for #RiseUpOctober""  http://t.co/zOsPXdqiJf http://t.co/gWZc2HeVh1'",United States,English,8/30/2015 12:46,4811,1,LeftTroll,4MYSQUAD,True
2814,4MYSQUAD,"'@4mysquad Yes. But the fight doesn't end. As long as there are racists, there are people pushing back.'",United States,English,8/30/2015 16:23,4811,1,LeftTroll,4MYSQUAD,True
2939,4MYSQUAD,'@JohnnyMarch_ damn right',United States,English,8/31/2015 13:42,4811,0,LeftTroll,JOHNNYMARCH_,True
2944,4MYSQUAD,'@4mysquad Outrageous Imprisonment Purvi Patel Wake-Up Call 2 Everyone: Fascist War on Women MUST BE STOPPED!  http://t.co/thyap1TRR1',United States,English,8/31/2015 14:05,4811,1,LeftTroll,4MYSQUAD,True
2948,4MYSQUAD,'@4mysquad @ShaunKing sorry but I'll swim to Cuba if i have to',United States,English,8/31/2015 14:23,4811,1,LeftTroll,4MYSQUAD,True
3074,4MYSQUAD,'@4mysquad @WSJSports @ReverantRevan All tennis players matter',United States,English,9/11/2015 23:20,4811,1,LeftTroll,4MYSQUAD,True
3118,4MYSQUAD,'@4mysquad P2: https://t.co/Cv7wybZ9zr',United States,English,9/12/2015 19:34,4811,0,LeftTroll,4MYSQUAD,True
3181,4MYSQUAD,"'@4mysquad @jagboski Yes, it's the zone with no wi-fi.'",United States,English,9/14/2015 22:05,4811,1,LeftTroll,4MYSQUAD,True
3282,4MYSQUAD,'@4mysquad 10/24 NYC BE THERE #BlackLivesMatter #staywoke  http://t.co/A8Zi8JudeS  http://t.co/zewbWYBtMq http://t.co/roaSeEnAd0',United States,English,9/18/2015 12:42,4811,1,LeftTroll,4MYSQUAD,True
3289,4MYSQUAD,"'@4mysquad Thanks. It's funny, registering as a church turns out to be a blessing. I find that extremely comical.'",United States,English,9/18/2015 16:46,4811,1,LeftTroll,4MYSQUAD,True
3312,4MYSQUAD,'@4mysquad @themartiney @F_M_D_B @Docmack6 @foolishchicka @conscious_black �',United States,English,9/18/2015 23:21,4811,1,LeftTroll,4MYSQUAD,True
3376,4MYSQUAD,'@4mysquad can honestly say i wouldn't shed a tear if Ramos and Cicinelli were found in a gutter',United States,English,9/2/2015 0:55,4811,1,LeftTroll,4MYSQUAD,True
3515,4MYSQUAD,'@4mysquad appreciate that. just checking. wasn't sure if something changed while i was sleep',United States,English,9/23/2015 17:27,4811,1,LeftTroll,4MYSQUAD,True
3549,4MYSQUAD,#BlackLivesMatter and are therefore worth defending. @deray @4mysquad @BlackLivesMat1 @BlackLife2016 @Nettaaaaaaaa http://t.co/vuRp6Rmmoq,United States,English,9/25/2015 20:07,4811,1,LeftTroll,4MYSQUAD,True
3565,4MYSQUAD,"'@4mysquad Well, Michael Bloomberg did the exact same thing. But I'll bet DonaldTrumpCanSuckMyHugeBlackCock.now is still available.'",United States,English,9/25/2015 21:57,4811,1,LeftTroll,4MYSQUAD,True
3634,4MYSQUAD,"Wut, is it open season on #BlackFolks 24/7/365? You gotta get a permit to kill a fucking deer or a fish. @4mysquad",United States,English,9/26/2015 21:29,4811,1,LeftTroll,4MYSQUAD,True
3670,4MYSQUAD,Hey! I just want you to know you're perfect. Keep your youth and beauty 4ever!  Your sincerely @4mysquad,United States,English,9/27/2015 13:05,4811,0,LeftTroll,4MYSQUAD,True
3807,5EMEN5EMENICH,"'@MaxDementiev отличная акция, присоединяюсь!!'",United States,Bulgarian,11/19/2015 2:24,745,0,NonEnglish,MAXDEMENTIEV,True
3825,5EMEN5EMENICH,'@byDrBre @Sandy_mustache  но бензин опять подорожал',United States,Russian,7/31/2015 20:45,745,0,NonEnglish,BYDRBRE,True
3837,5EMEN5EMENICH,'@gOWLhxN46JI5t0I @army_online @coldwar20_ru в этом душа нашего солдата)',United States,Russian,9/28/2015 9:07,745,0,NonEnglish,COLDWAR20_RU,True
3840,5EMEN5EMENICH,"'@NovostiSPb гены отца дают о себе знать, будем надеяться,что отличная смена основному составу растет'",United States,Russian,9/8/2015 1:12,745,0,NonEnglish,NOVOSTISPB,True
3842,5EMEN5EMENICH,'@MaxDementiev парень больше никогда не звони в первое попавшееся такси!',United States,Russian,9/9/2015 4:20,745,0,NonEnglish,MAXDEMENTIEV,True
3872,5L5_5L5,'@byDrBre @aavst рефлекторно у либералов это',United Arab Emirates,Russian,8/2/2015 21:06,591,0,NonEnglish,BYDRBRE,True
3875,5L5_5L5,'@byDrBre @BuzzFeed http://t.co/LlQ8R8iFLX',United Arab Emirates,Russian,8/27/2015 18:43,591,0,NonEnglish,BYDRBRE,True
3877,5L5_5L5,"'@MaxDementiev @NataliyaTelula @Rus_Minsk  совсем уже охренели, нашли из кого героя делать'",United Arab Emirates,Russian,8/5/2015 21:42,591,0,NonEnglish,MAXDEMENTIEV,True
4139,AAASSSSSHHH,'@Jenn_Abrams plagiarism',United States,English,10/24/2015 19:56,46,0,Fearmonger,JENN_ABRAMS,True
4155,AAASSSSSHHH,'@Politweecs it's horrible',United States,English,8/7/2015 17:15,46,0,Fearmonger,POLITWEECS,True
4200,AAGN1AA,'@byDrBre @Sandy_mustache наконец то',Azerbaijan,Russian,8/25/2015 18:27,123,0,NonEnglish,BYDRBRE,True
4204,AAGN1AA,"'@MaxDementiev на самом деле за последнее время гораздо улучшилась система такси в Питере. Раньше позвонить было страшно, а теперь - ничего'",Azerbaijan,Russian,9/8/2015 13:56,123,0,NonEnglish,MAXDEMENTIEV,True
4731,ABALAKOVAYLIA,'@zubovnik в его голове?',Unknown,Russian,8/5/2015 23:47,286,0,NonEnglish,ZUBOVNIK,True
4733,ABALAKOVAYLIA,'@ComradZampolit для европы эти беженцы  - настоящий удар',Unknown,Ukrainian,9/17/2015 18:40,286,0,NonEnglish,COMRADZAMPOLIT,True
4789,ABIGAILSSILK,#ThingsYouCantIgnore  Bacon.  @WorldOfHashtags @GiselleEvns,United States,English,12/19/2016 16:06,2863,0,HashtagGamer,WORLDOFHASHTAGS,True
4791,ABIGAILSSILK,#ThingsYouCantIgnore  Bacon.  @WorldOfHashtags @GiselleEvns,United States,English,12/19/2016 16:08,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
4793,ABIGAILSSILK,Tear Gas  #ThingsYouCantIgnore @WorldOfHashtags https://t.co/e6umbyXsOo,United States,English,12/19/2016 16:12,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
4820,ABIGAILSSILK,My bathroom scales  #SecondhandGifts @WorldOfHashtags https://t.co/KioKFhgrjo,United States,English,12/21/2016 18:38,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
4825,ABIGAILSSILK,Lost many 80s icons #2016In4Words  @WorldOfHashtags https://t.co/DRJKMWpVBC,United States,English,12/28/2016 16:51,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
4976,ABIGAILSSILK,A bomb to remember #ISISaMovie @WorldOfHashtags,United States,English,4/27/2016 15:39,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
5065,ABIGAILSSILK,#DontTellAnyoneBut you can even eat the dishes @BigEnuff @WorldOfHashtags https://t.co/Wl3q6MFm8j,United States,English,8/10/2016 15:08,2863,1,HashtagGamer,WORLDOFHASHTAGS,True
5511,ACEJINEV,"'@MilwaukeeVoice Lawmakers poised to take up civil service, Planned Parenthood in busy day'",United States,English,10/15/2015 23:50,928,0,LeftTroll,MILWAUKEEVOICE,True
5520,ACEJINEV,"'@MilwaukeeVoice We Energies at gas leak at Hawley, Wisconsin'",United States,English,10/16/2015 23:17,928,0,LeftTroll,MILWAUKEEVOICE,True
6016,ACEJINEV,Retweeted ProphecyEntrtainment (@ProphecyEnt):  Retweeted Crystal Johnson (@Crystal1Johnson):  Cops abusing a... https://t.co/GAgsSlkB0N,United States,English,11/4/2016 14:24,928,1,LeftTroll,CRYSTAL1JOHNSON,True
6527,ACEJINEV,'@theGrio @NatUrbanLeague @VibeMagazine @TheHilltopHU @TheRoot @Blk_Voice @MoveOn @marclamonthill @SocialIssueNews https://t.co/aHOG2nCIfE',United States,English,2/17/2017 22:48,928,1,LeftTroll,BLK_VOICE,True
7296,ACEJINEV,'@BleepThePolice yeah but it won't till we all wake up. So for the one's playing sleep this is what they should get.',United States,English,4/2/2016 14:01,928,1,LeftTroll,BLEEPTHEPOLICE,True
8299,ACEJINEV,'@JacksonCityPost eco-ideas not new and actuality',United States,English,8/16/2015 20:47,928,0,LeftTroll,JACKSONCITYPOST,True
8340,ACEJINEV,'@JacksonCityPost RIP',United States,English,8/24/2015 22:39,928,0,LeftTroll,JACKSONCITYPOST,True
8418,ACEJINEV,'@JacksonCityPost it's better than laying on sofa in the living room',United States,English,9/10/2015 1:50,928,0,LeftTroll,JACKSONCITYPOST,True
8419,ACEJINEV,'@MilwaukeeVoice but new iphones are great!',United States,English,9/10/2015 2:21,928,0,LeftTroll,MILWAUKEEVOICE,True
8559,ADAMCHAPMANJR,"'@jada4583 @ShaunKing @Cuba_Brown @Crystal1Johnson @trueblackpower @Pastor_Earle @Blk_Voice @ATLBlackStar proud of you too, Sis!✊�'",United States,English,10/6/2016 16:37,974,1,LeftTroll,CRYSTAL1JOHNSON,True
8562,ADAMCHAPMANJR,"'@jada4583 @ShaunKing @Cuba_Brown @Crystal1Johnson @trueblackpower @Pastor_Earle @Blk_Voice @ATLBlackStar proud of you too, Sis!✊�'",United States,English,10/6/2016 16:37,974,1,LeftTroll,BLK_VOICE,True
9176,ADAMMA_DEFOND,'@byDrBre @Sandy_mustache  так их в природе нет',United Arab Emirates,Serbian,8/5/2015 22:33,408,0,NonEnglish,BYDRBRE,True
9178,ADAMMA_DEFOND,"'@byDrBre @LevSharansky из-за легионеров, футбол давно стал неинтересен'",United Arab Emirates,Ukrainian,8/5/2015 23:14,408,0,NonEnglish,BYDRBRE,True
9751,ADRGREERR,"Hey guys, join us � #MyCampaignSlogan @aidno @HoboRobot @ChrixMorgan @moutzie89 @MustBeTheMeds @LMihaLove @DanaGeezus @cakikeith @Will3K85",United States,English,4/25/2015 15:33,833,1,LeftTroll,CHRIXMORGAN,True
9755,ADRGREERR,"Hey guys, join us � #MyCampaignSlogan @aidno @HoboRobot @ChrixMorgan @moutzie89 @MustBeTheMeds @LMihaLove @DanaGeezus @cakikeith @Will3K85",United States,English,4/25/2015 15:33,833,1,LeftTroll,DANAGEEZUS,True
9773,ADRGREERR,'@TrivagoD @moutzie89 @Mmahone @waynepitt69 @sophie_diddles @ChrixMorgan @GiselleEvns join our game! � #ReasonMyMomIsBetter �',United States,English,5/10/2015 16:05,833,1,LeftTroll,CHRIXMORGAN,True
10070,ADRIENNE_GG,Happy New Year!  @DoubleACM @AmandaVGreen https://t.co/uwvNF6npAK,United States,English,1/2/2017 13:31,4530,1,HashtagGamer,AMANDAVGREEN,True
10087,ADRIENNE_GG,Bryan or Ryan Adams  #whenthestarsgoblue #RejectedDebateTopics @WorldOfHashtags @TheRyanAdams @bryanadams https://t.co/wFBdne8KoY,United States,English,10/19/2016 15:19,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10141,ADRIENNE_GG,"My favorite line in #TalladegaNights:  ""All you ever did was make a hot daughter""  Terrific!  #ProbableTrumpsTweets  @WorldOfHashtags",United States,English,11/30/2016 15:42,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10189,ADRIENNE_GG,Tear Gas  #ThingsYouCantIgnore @WorldOfHashtags https://t.co/e6umbyXsOo,United States,English,12/19/2016 17:43,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10215,ADRIENNE_GG,RT @DidITweetThat: Terrorists Release UnAmerican Manufactured Products  #TRUMP  #AlternativeAcronymInterpretations @WorldOfHashtags,United States,English,12/5/2016 16:11,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10220,ADRIENNE_GG,'@ringgoldsandra @ChrixMorgan #AlternativeAcronymInterpretations CIA Chocolate Investigative Agency https://t.co/A5jLTBUX5i',United States,English,12/5/2016 16:14,4530,1,HashtagGamer,CHRIXMORGAN,True
10274,ADRIENNE_GG,Expensive dead flowers  #ValentinesDayIn3Words @WorldOfHashtags,United States,English,2/8/2017 15:55,4530,0,HashtagGamer,WORLDOFHASHTAGS,True
10418,ADRIENNE_GG,A bomb to remember #ISISaMovie @WorldOfHashtags,United States,English,4/27/2016 15:46,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10464,ADRIENNE_GG,#DontTellAnyoneBut you can even eat the dishes @BigEnuff @WorldOfHashtags https://t.co/Wl3q6MFm8j,United States,English,8/10/2016 15:24,4530,1,HashtagGamer,WORLDOFHASHTAGS,True
10559,ADRIENNE_GG,#IHaveARightToKnow if these jorts make me look like an ass.  @WorldOfHashtags https://t.co/IK0FkdPI3p,United States,English,9/28/2016 15:44,4530,0,HashtagGamer,WORLDOFHASHTAGS,True
10642,AGAFONME,"Украина готова потерять все, лишь бы не сотрудничать с Россией @Manzal_   https://t.co/R2qbPX1GgG",Azerbaijan,Russian,12/11/2015 14:02,123,1,NonEnglish,MANZAL_,True
10658,AGAFONME,'@zubovnik @hirurg_Wolves @eiandreeva начали думать головой',Azerbaijan,Russian,8/16/2015 19:14,123,0,NonEnglish,ZUBOVNIK,True
10661,AGAFONME,'@zubovnik пролякам пока не в домек',Azerbaijan,Ukrainian,8/17/2015 22:35,123,0,NonEnglish,ZUBOVNIK,True
10698,AGATA_ALEXEEVA,"'@NovostiNN Замечательно, что технологии настолько крутые на сегодняшний день, что можно даже понаблюдать за космонавтами!'",United States,Russian,9/20/2015 23:41,351,0,NonEnglish,NOVOSTINN,True
10699,AGATA_ALEXEEVA,"'@MaxDementiev Вот это новости, ну что же Рою Джонсу точно не откажут'",United States,Ukrainian,9/3/2015 21:23,351,0,NonEnglish,MAXDEMENTIEV,True
10710,AGITPOLK,"Интервью @ComradZampolit для швейцарского информационного сайта. О семье, патриотизме и ""Агитполке"": https://t.co/g3roDGNDNd https://t.co/B8SUJHZdlK",Unknown,Ukrainian,9/15/2017 10:41,8949,0,NonEnglish,COMRADZAMPOLIT,True
10744,AGNESGRHM,"RT @WorldOfHashtags: We don't know exactly who's our future president,but Obama needs a new job surely Assume #ObamaNextJob and have fun! h…",United States,English,6/21/2016 15:25,603,0,HashtagGamer,WORLDOFHASHTAGS,True
11066,AHNORDYK,'@ComradZampolit за то новая форма у полиции',United Arab Emirates,Ukrainian,7/6/2015 21:25,577,0,NonEnglish,COMRADZAMPOLIT,True
11115,AH_VERONIKI,'@byDrBre @big_b_brother это слабо похоже на речь в общепринятом смысле',United Arab Emirates,Russian,9/4/2015 22:49,466,0,NonEnglish,BYDRBRE,True
11163,AIDEN7757,#ItsRiskyTo tell a woman to calm down &amp; say they're acting irrational #BellLetsTalk https://t.co/FvYzIsyPE5 .@WorldOfHashtags @GiselleEvns,United States,English,1/25/2017 16:30,3746,1,HashtagGamer,WORLDOFHASHTAGS,True
11280,AIDEN7757,#ThingsYouCantIgnore  Bacon.  @WorldOfHashtags @GiselleEvns,United States,English,12/19/2016 15:13,3746,1,HashtagGamer,WORLDOFHASHTAGS,True
